AFiDs_line,Annotation figure IDs file name,common_database_double-checked file name 
3895,Labeling_5 - Sunita_97_20220701T081025-1_0.pcd_266214380.pcd,51-97-1_0-20220701T081025.pcd
3899,Labeling_5 - Sunita_97_20220702T053351-1_0.pcd_266214381.pcd,51-97-1_0-20220702T053351.pcd
3907,Labeling_5 - Sunita_97_20220705T054818-1_0.pcd_266214383.pcd,51-97-1_0-20220705T054818.pcd
3915,Labeling_5 - Sunita_97_20220707T045320-1_0.pcd_266214385.pcd,51-97-1_0-20220707T045320.pcd
3951,Labeling_Exp51--97--1_6--Krithika_1_6-97_20220702T053351-1_6.pcd_269646774.pcd,51-97-1_6-20220702T053351.pcd
3958,Labeling_Exp51--97--1_6--Krithika_1_6-97_20220705T054818-1_6.pcd_269646776.pcd,51-97-1_6-20220705T054818.pcd
17,0_2-97_20220709T095212.pcd_280199496.pcd,51-97-0_2-20220709T095212.pcd
25,0_4-97_20220705T054818.pcd_280199499.pcd,51-97-0_4-20220705T054818.pcd
30,0_4-97_20220709T095212.pcd_280199500.pcd,51-97-0_4-20220709T095212.pcd
54,1_2-97_20220709T095212.pcd_280199512.pcd,51-97-1_2-20220709T095212.pcd
64,1_6-97_20220707T045320-1_6.pcd_269646778.pcd,51-97-1_6-20220707T045320.pcd
82,1_8-97_20220705T054818.pcd_280199519.pcd,51-97-1_8-20220705T054818.pcd
85,27-0_11-20220524T041419.pcd_280230138.pcd,50-27-0_11-20220524T041419.pcd
105,27-0_11-20220525T030449.pcd_280230139.pcd,50-27-0_11-20220525T030449.pcd
125,27-0_11-20220527T045102.pcd_280230140.pcd,50-27-0_11-20220527T045102.pcd
151,27-0_11-20220601T033109.pcd_280230143.pcd,50-27-0_11-20220601T033109.pcd
158,27-0_11-20220602T052138.pcd_280230144.pcd,50-27-0_11-20220602T052138.pcd
172,27-0_2-20220531T042054.pcd_280230150.pcd,50-27-0_2-20220531T042054.pcd
229,27-0_4-20220531T042054.pcd_280230168.pcd,50-27-0_4-20220531T042054.pcd
234,27-0_4-20220601T033109.pcd_280230169.pcd,50-27-0_4-20220601T033109.pcd
